"id","type","dataType","group","status","uiName","description","allowedInSegments","replacedBy","calculation","minTemplateIndex","maxTemplateIndex","premiumMinTemplateIndex","premiumMaxTemplateIndex"
"ga:adContent","DIMENSION","STRING","Traffic Sources","PUBLIC","Ad Content","When using manual campaign tracking, the value of the utm_content campaign tracking parameter. When using AdWords autotagging, the first line of the text for your online Ad campaign. If you are using mad libs for your AdWords content, this field displays the keywords you provided for the mad libs keyword match. Otherwise the value is (not set)",TRUE,NA,NA,NA,NA,NA,NA
"ga:socialNetwork","DIMENSION","STRING","Traffic Sources","PUBLIC","","Name of the social network. This can be related to the referring social network for traffic sources, or to the social network for social data hub activities. E.g. Google+, Blogger, etc.",NA,NA,NA,NA,NA,NA,NA
"ga:hasSocialSourceReferral","DIMENSION","STRING","Traffic Sources","PUBLIC","Social Source Referral","Indicates sessions that arrived to the property from a social source. The possible values are Yes or No where the first letter is capitalized.",NA,NA,NA,NA,NA,NA,NA
"ga:organicSearches","METRIC","INTEGER","Traffic Sources","PUBLIC","Organic Searches","The number of organic searches that happened within a session. This metric is search engine agnostic.",NA,NA,NA,NA,NA,NA,NA
"ga:adGroup","DIMENSION","STRING","Adwords","PUBLIC","Ad Group","The name of your AdWords ad group.",TRUE,NA,NA,NA,NA,NA,NA
"ga:adSlot","DIMENSION","STRING","Adwords","PUBLIC","Ad Slot","The location of the advertisement on the hosting page (Top, RHS, or not set).",TRUE,NA,NA,NA,NA,NA,NA
"ga:adSlotPosition","DIMENSION","STRING","Adwords","DEPRECATED","Ad Slot Position","This dimension is deprecated and will be removed soon.",TRUE,NA,NA,NA,NA,NA,NA
"ga:adDistributionNetwork","DIMENSION","STRING","Adwords","PUBLIC","Ad Distribution Network","The networks used to deliver your ads (Content, Search, Search partners, etc.).",NA,NA,NA,NA,NA,NA,NA
"ga:adMatchType","DIMENSION","STRING","Adwords","PUBLIC","Query Match Type","The match types applied for the search term the user had input(Phrase, Exact, Broad, etc.). Ads on the content network are identified as ""Content network"". Details: https://support.google.com/adwords/answer/2472708?hl=en",NA,NA,NA,NA,NA,NA,NA
"ga:adKeywordMatchType","DIMENSION","STRING","Adwords","PUBLIC","Keyword Match Type","The match types applied to your keywords (Phrase, Exact, Broad). Details: https://support.google.com/adwords/answer/2472708?hl=en",NA,NA,NA,NA,NA,NA,NA
"ga:adMatchedQuery","DIMENSION","STRING","Adwords","PUBLIC","Matched Search Query","The search queries that triggered impressions of your AdWords ads.",NA,NA,NA,NA,NA,NA,NA
"ga:adPlacementDomain","DIMENSION","STRING","Adwords","PUBLIC","Placement Domain","The domains where your ads on the content network were placed.",NA,NA,NA,NA,NA,NA,NA
"ga:adPlacementUrl","DIMENSION","STRING","Adwords","PUBLIC","Placement URL","The URLs where your ads on the content network were placed.",NA,NA,NA,NA,NA,NA,NA
"ga:adFormat","DIMENSION","STRING","Adwords","PUBLIC","Ad Format","Your AdWords ad formats (Text, Image, Flash, Video, etc.).",NA,NA,NA,NA,NA,NA,NA
"ga:adTargetingType","DIMENSION","STRING","Adwords","PUBLIC","Targeting Type","How your AdWords ads were targeted (keyword, placement, and vertical targeting, etc.).",TRUE,NA,NA,NA,NA,NA,NA
"ga:adTargetingOption","DIMENSION","STRING","Adwords","PUBLIC","Placement Type","How you manage your ads on the content network. Values are Automatic placements or Managed placements.",NA,NA,NA,NA,NA,NA,NA
"ga:adDisplayUrl","DIMENSION","STRING","Adwords","PUBLIC","Display URL","The URLs your AdWords ads displayed.",NA,NA,NA,NA,NA,NA,NA
"ga:adDestinationUrl","DIMENSION","STRING","Adwords","PUBLIC","Destination URL","The URLs to which your AdWords ads referred traffic.",NA,NA,NA,NA,NA,NA,NA
"ga:adwordsCustomerID","DIMENSION","STRING","Adwords","PUBLIC","AdWords Customer ID","A string. Corresponds to AdWords API AccountInfo.customerId.",NA,NA,NA,NA,NA,NA,NA
"ga:adwordsCampaignID","DIMENSION","STRING","Adwords","PUBLIC","AdWords Campaign ID","A string. Corresponds to AdWords API Campaign.id.",NA,NA,NA,NA,NA,NA,NA
"ga:adwordsAdGroupID","DIMENSION","STRING","Adwords","PUBLIC","AdWords Ad Group ID","A string. Corresponds to AdWords API AdGroup.id.",NA,NA,NA,NA,NA,NA,NA
"ga:adwordsCreativeID","DIMENSION","STRING","Adwords","PUBLIC","AdWords Creative ID","A string. Corresponds to AdWords API Ad.id.",NA,NA,NA,NA,NA,NA,NA
"ga:adwordsCriteriaID","DIMENSION","STRING","Adwords","PUBLIC","AdWords Criteria ID","A string corresponding to the AdWords API Criterion.id. The geographical targeting Criteria IDs can be found at: https://developers.google.com/analytics/devguides/collection/protocol/v1/geoid",NA,NA,NA,NA,NA,NA,NA
"ga:impressions","METRIC","INTEGER","Adwords","PUBLIC","Impressions","Total number of campaign impressions.",NA,NA,NA,NA,NA,NA,NA
"ga:adClicks","METRIC","INTEGER","Adwords","PUBLIC","Clicks","The total number of times users have clicked on an ad to reach your property.",NA,NA,NA,NA,NA,NA,NA
"ga:adCost","METRIC","CURRENCY","Adwords","PUBLIC","Cost","Derived cost for the advertising campaign. The currency for this value is based on the currency that you set in your AdWords account.",NA,NA,NA,NA,NA,NA,NA
"ga:CPM","METRIC","CURRENCY","Adwords","PUBLIC","CPM","Cost per thousand impressions.",NA,NA,"ga:adCost / (ga:impressions / 1000)",NA,NA,NA,NA
"ga:CPC","METRIC","CURRENCY","Adwords","PUBLIC","CPC","Cost to advertiser per click.",NA,NA,"ga:adCost / ga:adClicks",NA,NA,NA,NA
"ga:CTR","METRIC","PERCENT","Adwords","PUBLIC","CTR","Click-through-rate for your ad. This is equal to the number of clicks divided by the number of impressions for your ad (e.g. how many times users clicked on one of your ads where that ad appeared).",NA,NA,"ga:adClicks / ga:impressions",NA,NA,NA,NA
"ga:costPerTransaction","METRIC","CURRENCY","Adwords","PUBLIC","Cost per Transaction","The cost per transaction for your property.",NA,NA,"(ga:adCost) / (ga:transactions)",NA,NA,NA,NA
"ga:costPerGoalConversion","METRIC","CURRENCY","Adwords","PUBLIC","Cost per Goal Conversion","The cost per goal conversion for your property.",NA,NA,"(ga:adCost) / (ga:goalCompletionsAll)",NA,NA,NA,NA
"ga:costPerConversion","METRIC","CURRENCY","Adwords","PUBLIC","Cost per Conversion","The cost per conversion (including ecommerce and goal conversions) for your property.",NA,NA,"(ga:adCost) / (ga:transactions  +  ga:goalCompletionsAll)",NA,NA,NA,NA
"ga:RPC","METRIC","CURRENCY","Adwords","PUBLIC","RPC","RPC or revenue-per-click is the average revenue (from ecommerce sales and/or goal value) you received for each click on one of your search ads.",NA,NA,"(ga:transactionRevenue + ga:goalValueAll) / ga:adClicks",NA,NA,NA,NA
"ga:ROI","METRIC","PERCENT","Adwords","DEPRECATED","ROI","This metric is deprecated and will be removed soon. Please use ga:ROAS instead.",NA,NA,"(ga:transactionRevenue + ga:goalValueAll - ga:adCost) / ga:adCost",NA,NA,NA,NA
"ga:margin","METRIC","PERCENT","Adwords","DEPRECATED","Margin","This metric is deprecated and will be removed soon. Please use ga:ROAS instead.",NA,NA,"(ga:transactionRevenue + ga:goalValueAll - ga:adCost) / (ga:transactionRevenue + ga:goalValueAll)",NA,NA,NA,NA
"ga:ROAS","METRIC","PERCENT","Adwords","PUBLIC","ROAS","Return On Ad Spend (ROAS) is the total transaction revenue and goal value divided by derived advertising cost.",NA,NA,"(ga:transactionRevenue + ga:goalValueAll) / ga:adCost",NA,NA,NA,NA
"ga:adQueryWordCount","DIMENSION","STRING","Adwords","PUBLIC","Query Word Count","The number of words in the search query.",NA,NA,NA,NA,NA,NA,NA
"ga:goalCompletionLocation","DIMENSION","STRING","Goal Conversions","PUBLIC","Goal Completion Location","The page path or screen name that matched any destination type goal completion.",NA,NA,NA,NA,NA,NA,NA
"ga:goalPreviousStep1","DIMENSION","STRING","Goal Conversions","PUBLIC","Goal Previous Step - 1","The page path or screen name that matched any destination type goal, one step prior to the goal completion location.",NA,NA,NA,NA,NA,NA,NA
"ga:goalPreviousStep2","DIMENSION","STRING","Goal Conversions","PUBLIC","Goal Previous Step - 2","The page path or screen name that matched any destination type goal, two steps prior to the goal completion location.",NA,NA,NA,NA,NA,NA,NA
"ga:goalPreviousStep3","DIMENSION","STRING","Goal Conversions","PUBLIC","Goal Previous Step - 3","The page path or screen name that matched any destination type goal, three steps prior to the goal completion location.",NA,NA,NA,NA,NA,NA,NA
"ga:goalXXStarts","METRIC","INTEGER","Goal Conversions","PUBLIC","Goal XX Starts","The total number of starts for the requested goal number.",TRUE,NA,NA,1,20,NA,NA
"ga:goalStartsAll","METRIC","INTEGER","Goal Conversions","PUBLIC","Goal Starts","The total number of starts for all goals defined for your profile.",TRUE,NA,NA,NA,NA,NA,NA
"ga:goalXXCompletions","METRIC","INTEGER","Goal Conversions","PUBLIC","Goal XX Completions","The total number of completions for the requested goal number.",TRUE,NA,NA,1,20,NA,NA
"ga:goalCompletionsAll","METRIC","INTEGER","Goal Conversions","PUBLIC","Goal Completions","The total number of completions for all goals defined for your profile.",TRUE,NA,NA,NA,NA,NA,NA
"ga:goalXXValue","METRIC","CURRENCY","Goal Conversions","PUBLIC","Goal XX Value","The total numeric value for the requested goal number.",TRUE,NA,NA,1,20,NA,NA
"ga:goalValueAll","METRIC","CURRENCY","Goal Conversions","PUBLIC","Goal Value","The total numeric value for all goals defined for your profile.",TRUE,NA,NA,NA,NA,NA,NA
"ga:goalValuePerSession","METRIC","CURRENCY","Goal Conversions","PUBLIC","Per Session Goal Value","The average goal value of a session.",NA,NA,"ga:goalValueAll / ga:sessions",NA,NA,NA,NA
"ga:goalValuePerVisit","METRIC","CURRENCY","Goal Conversions","DEPRECATED","Per Session Goal Value","The average goal value of a session.",NA,"ga:goalValuePerSession","ga:goalValueAll / ga:sessions",NA,NA,NA,NA
"ga:goalXXConversionRate","METRIC","PERCENT","Goal Conversions","PUBLIC","Goal XX Conversion Rate","The percentage of sessions which resulted in a conversion to the requested goal number.",NA,NA,"ga:goalXXCompletions / ga:sessions",1,20,NA,NA
"ga:goalConversionRateAll","METRIC","PERCENT","Goal Conversions","PUBLIC","Goal Conversion Rate","The percentage of sessions which resulted in a conversion to at least one of your goals.",NA,NA,"ga:goalCompletionsAll / ga:sessions",NA,NA,NA,NA
"ga:goalXXAbandons","METRIC","INTEGER","Goal Conversions","PUBLIC","Goal XX Abandoned Funnels","The number of times users started conversion activity on the requested goal number without actually completing it.",NA,NA,"(ga:goalXXStarts - ga:goalXXCompletions)",1,20,NA,NA
"ga:goalAbandonsAll","METRIC","INTEGER","Goal Conversions","PUBLIC","Abandoned Funnels","The overall number of times users started goals without actually completing them.",NA,NA,"(ga:goalStartsAll - ga:goalCompletionsAll)",NA,NA,NA,NA
"ga:goalXXAbandonRate","METRIC","PERCENT","Goal Conversions","PUBLIC","Goal XX Abandonment Rate","The rate at which the requested goal number was abandoned.",NA,NA,"((ga:goalXXStarts - ga:goalXXCompletions)) / (ga:goalXXStarts)",1,20,NA,NA
"ga:goalAbandonRateAll","METRIC","PERCENT","Goal Conversions","PUBLIC","Total Abandonment Rate","The rate at which goals were abandoned.",NA,NA,"((ga:goalStartsAll - ga:goalCompletionsAll)) / (ga:goalStartsAll)",NA,NA,NA,NA
"ga:browser","DIMENSION","STRING","Platform or Device","PUBLIC","Browser","The names of browsers used by users to your website. For example, Internet Explorer or Firefox.",TRUE,NA,NA,NA,NA,NA,NA
"ga:browserVersion","DIMENSION","STRING","Platform or Device","PUBLIC","Browser Version","The browser versions used by users to your website. For example, 2.0.0.14",TRUE,NA,NA,NA,NA,NA,NA
"ga:operatingSystem","DIMENSION","STRING","Platform or Device","PUBLIC","Operating System","The operating system used by your users. For example, Windows, Linux , Macintosh, iPhone, iPod.",TRUE,NA,NA,NA,NA,NA,NA
"ga:operatingSystemVersion","DIMENSION","STRING","Platform or Device","PUBLIC","Operating System Version","The version of the operating system used by your users, such as XP for Windows or PPC for Macintosh.",TRUE,NA,NA,NA,NA,NA,NA
"ga:isMobile","DIMENSION","STRING","Platform or Device","DEPRECATED","Mobile (Including Tablet)","This dimension is deprecated and will be removed soon. Please use ga:deviceCategory instead (e.g., ga:deviceCategory==mobile).",TRUE,NA,NA,NA,NA,NA,NA
"ga:isTablet","DIMENSION","STRING","Platform or Device","DEPRECATED","Tablet","This dimension is deprecated and will be removed soon. Please use ga:deviceCategory instead (e.g., ga:deviceCategory==tablet).",TRUE,NA,NA,NA,NA,NA,NA
"ga:mobileDeviceBranding","DIMENSION","STRING","Platform or Device","PUBLIC","Mobile Device Branding","Mobile manufacturer or branded name.",TRUE,NA,NA,NA,NA,NA,NA
"ga:mobileDeviceModel","DIMENSION","STRING","Platform or Device","PUBLIC","Mobile Device Model","Mobile device model.",TRUE,NA,NA,NA,NA,NA,NA
"ga:mobileInputSelector","DIMENSION","STRING","Platform or Device","PUBLIC","Mobile Input Selector","Selector used on the mobile device (e.g.: touchscreen, joystick, clickwheel, stylus).",TRUE,NA,NA,NA,NA,NA,NA
"ga:mobileDeviceInfo","DIMENSION","STRING","Platform or Device","PUBLIC","Mobile Device Info","The branding, model, and marketing name used to identify the mobile device.",TRUE,NA,NA,NA,NA,NA,NA
"ga:mobileDeviceMarketingName","DIMENSION","STRING","Platform or Device","PUBLIC","Mobile Device Marketing Name","The marketing name used for the mobile device.",TRUE,NA,NA,NA,NA,NA,NA
"ga:deviceCategory","DIMENSION","STRING","Platform or Device","PUBLIC","Device Category","The type of device: desktop, tablet, or mobile.",TRUE,NA,NA,NA,NA,NA,NA
"ga:continent","DIMENSION","STRING","Geo Network","PUBLIC","Continent","The continents of users, derived from IP addresses or Geographical IDs.",TRUE,NA,NA,NA,NA,NA,NA
"ga:subContinent","DIMENSION","STRING","Geo Network","PUBLIC","Sub Continent","The sub-continent of users, derived from IP addresses or Geographical IDs. For example, Polynesia or Northern Europe.",TRUE,NA,NA,NA,NA,NA,NA
"ga:country","DIMENSION","STRING","Geo Network","PUBLIC","Country","The country of users, derived from IP addresses or Geographical IDs.",TRUE,NA,NA,NA,NA,NA,NA
"ga:region","DIMENSION","STRING","Geo Network","PUBLIC","Region","The region of users, derived from IP addresses or Geographical IDs. In the U.S., a region is a state, such as New York.",TRUE,NA,NA,NA,NA,NA,NA
"ga:metro","DIMENSION","STRING","Geo Network","PUBLIC","Metro","The Designated Market Area (DMA) from where traffic arrived.",TRUE,NA,NA,NA,NA,NA,NA
"ga:city","DIMENSION","STRING","Geo Network","PUBLIC","City","The cities of users, derived from IP addresses or Geographical IDs.",TRUE,NA,NA,NA,NA,NA,NA
"ga:latitude","DIMENSION","STRING","Geo Network","PUBLIC","Latitude","The approximate latitude of the user's city. Derived from IP addresses or Geographical IDs. Locations north of the equator are represented by positive values and locations south of the equator by negative values.",NA,NA,NA,NA,NA,NA,NA
"ga:longitude","DIMENSION","STRING","Geo Network","PUBLIC","Longitude","The approximate longitude of the user's city. Derived from IP addresses or Geographical IDs. Locations east of the meridian are represented by positive values and locations west of the meridian by negative values.",NA,NA,NA,NA,NA,NA,NA
"ga:networkDomain","DIMENSION","STRING","Geo Network","PUBLIC","Network Domain","The domain name of the ISPs used by users. This is derived from the domain name registered to the IP address.",TRUE,NA,NA,NA,NA,NA,NA
"ga:networkLocation","DIMENSION","STRING","Geo Network","PUBLIC","Service Provider","The name of service providers used to reach your property. For example, if most users to your website come via the major service providers for cable internet, you will see the names of those cable service providers in this element.",TRUE,NA,NA,NA,NA,NA,NA
"ga:flashVersion","DIMENSION","STRING","System","PUBLIC","Flash Version","The versions of Flash supported by users' browsers, including minor versions.",TRUE,NA,NA,NA,NA,NA,NA
"ga:javaEnabled","DIMENSION","STRING","System","PUBLIC","Java Support","Indicates Java support for users' browsers. The possible values are Yes or No where the first letter must be capitalized.",TRUE,NA,NA,NA,NA,NA,NA
"ga:language","DIMENSION","STRING","System","PUBLIC","Language","The language provided by the HTTP Request for the browser. Values are given as an ISO-639 code (e.g. en-gb for British English).",TRUE,NA,NA,NA,NA,NA,NA
"ga:screenColors","DIMENSION","STRING","System","PUBLIC","Screen Colors","The color depth of users' monitors, as retrieved from the DOM of the user's browser. For example 4-bit, 8-bit, 24-bit, or undefined-bit.",TRUE,NA,NA,NA,NA,NA,NA
"ga:sourcePropertyDisplayName","DIMENSION","STRING","System","PUBLIC","Source Property Display Name","Source property display name of roll-up properties. This is valid only for roll-up properties.",TRUE,NA,NA,NA,NA,NA,NA
"ga:sourcePropertyTrackingId","DIMENSION","STRING","System","PUBLIC","Source Property Tracking ID","Source property tracking ID of roll-up properties. This is valid only for roll-up properties.",TRUE,NA,NA,NA,NA,NA,NA
"ga:screenResolution","DIMENSION","STRING","System","PUBLIC","Screen Resolution","The screen resolution of users' screens. For example: 1024x738.",TRUE,NA,NA,NA,NA,NA,NA
"ga:socialActivityEndorsingUrl","DIMENSION","STRING","Social Activities","PUBLIC","Endorsing URL","For a social data hub activity, this value represents the URL of the social activity (e.g. the Google+ post URL, the blog comment URL, etc.)",NA,NA,NA,NA,NA,NA,NA
"ga:socialActivityDisplayName","DIMENSION","STRING","Social Activities","PUBLIC","Display Name","For a social data hub activity, this value represents the title of the social activity posted by the social network user.",NA,NA,NA,NA,NA,NA,NA
"ga:socialActivityPost","DIMENSION","STRING","Social Activities","PUBLIC","Social Activity Post","For a social data hub activity, this value represents the content of the social activity posted by the social network user (e.g. The message content of a Google+ post)",NA,NA,NA,NA,NA,NA,NA
"ga:socialActivityTimestamp","DIMENSION","STRING","Social Activities","PUBLIC","Social Activity Timestamp","For a social data hub activity, this value represents when the social activity occurred on the social network.",NA,NA,NA,NA,NA,NA,NA
"ga:socialActivityUserHandle","DIMENSION","STRING","Social Activities","PUBLIC","Social User Handle","For a social data hub activity, this value represents the social network handle (e.g. name or ID) of the user who initiated the social activity.",NA,NA,NA,NA,NA,NA,NA
"ga:socialActivityUserPhotoUrl","DIMENSION","STRING","Social Activities","PUBLIC","User Photo URL","For a social data hub activity, this value represents the URL of the photo associated with the user's social network profile.",NA,NA,NA,NA,NA,NA,NA
"ga:socialActivityUserProfileUrl","DIMENSION","STRING","Social Activities","PUBLIC","User Profile URL","For a social data hub activity, this value represents the URL of the associated user's social network profile.",NA,NA,NA,NA,NA,NA,NA
"ga:socialActivityContentUrl","DIMENSION","STRING","Social Activities","PUBLIC","Shared URL","For a social data hub activity, this value represents the URL shared by the associated social network user.",NA,NA,NA,NA,NA,NA,NA
"ga:socialActivityTagsSummary","DIMENSION","STRING","Social Activities","PUBLIC","Social Tags Summary","For a social data hub activity, this is a comma-separated set of tags associated with the social activity.",NA,NA,NA,NA,NA,NA,NA
"ga:socialActivityAction","DIMENSION","STRING","Social Activities","PUBLIC","Originating Social Action","For a social data hub activity, this value represents the type of social action associated with the activity (e.g. vote, comment, +1, etc.).",NA,NA,NA,NA,NA,NA,NA
"ga:socialActivityNetworkAction","DIMENSION","STRING","Social Activities","PUBLIC","Social Network and Action","For a social data hub activity, this value represents the type of social action and the social network where the activity originated.",NA,NA,NA,NA,NA,NA,NA
"ga:socialActivities","METRIC","INTEGER","Social Activities","PUBLIC","Data Hub Activities","The total number of activities where a content URL was shared / mentioned on a social data hub partner network.",NA,NA,NA,NA,NA,NA,NA
"ga:hostname","DIMENSION","STRING","Page Tracking","PUBLIC","Hostname","The hostname from which the tracking request was made.",TRUE,NA,NA,NA,NA,NA,NA
"ga:pagePath","DIMENSION","STRING","Page Tracking","PUBLIC","Page","A page on your website specified by path and/or query parameters. Use in conjunction with hostname to get the full URL of the page.",TRUE,NA,NA,NA,NA,NA,NA
"ga:pagePathLevel1","DIMENSION","STRING","Page Tracking","PUBLIC","Page path level 1","This dimension rolls up all the page paths in the first hierarchical level in pagePath.",NA,NA,NA,NA,NA,NA,NA
